symbol,symbol_name,security_type,industry_type
1201,味全,股票,食品工業
1216,統一,股票,食品工業
1301,台塑,股票,塑膠工業
1303,南亞,股票,塑膠工業
1304,台聚,股票,塑膠工業
1402,遠東新,股票,紡織纖維
1440,南紡,股票,紡織纖維
1605,華新,股票,電器電纜
1802,台玻,股票,玻璃陶瓷
1904,正隆,股票,造紙工業
1907,永豐餘,股票,造紙工業
2002,中鋼,股票,鋼鐵工業
2006,東和鋼鐵,股票,鋼鐵工業
2049,上銀,股票,電機機械
2201,裕隆,股票,汽車工業
2204,中華,股票,汽車工業
2207,和泰車,股票,汽車工業
2301,光寶科,股票,電腦及週邊設備業
2303,聯電,股票,半導體業
2308,台達電,股票,電子零組件業
2330,台積電,股票,半導體業
2345,智邦,股票,通信網路業
2347,聯強,股票,電子通路業
2353,宏碁,股票,電腦及週邊設備業
2354,鴻準,股票,其他電子業
2356,英業達,股票,電腦及週邊設備業
2357,華碩,股票,電腦及週邊設備業
2377,微星,股票,電腦及週邊設備業
2379,瑞昱,股票,半導體業
2412,中華電,股票,通信網路業
2450,神腦,股票,通信網路業
2454,聯發科,股票,半導體業
TSE,臺股指數,指數,
2618,長榮航,股票,航運業
2637,慧洋-KY,股票,航運業
2705,六福,股票,觀光餐旅
TW50,臺50指數,指數,
TSE11,食品類,指數,
2881,富邦金,股票,金融保險業
2886,兆豐金,股票,金融保險業
2891,中信金,股票,金融保險業
2903,遠百,股票,貿易百貨業
2912,統一超,股票,貿易百貨業
3033,威健,股票,電子通路業
3034,聯詠,股票,半導體業
3036,文曄,股票,電子通路業
3231,緯創,股票,電腦及週邊設備業
3481,群創,股票,光電業
3702,大聯大,股票,電子通路業
4306,炎洲,股票,塑膠工業
5388,中磊,股票,通信網路業
5522,遠雄,股票,建材營造業
TSE12,塑膠類,指數,
6505,台塑化,股票,油電燃氣業
9945,潤泰新,股票,其他業
0050,元大台灣50,ETF,
0051,元大中型100,ETF,
0052,富邦科技,ETF,
0053,元大電子,ETF,
0055,元大MSCI金融,ETF,
0056,元大高股息,ETF,
0057,富邦摩台,ETF,
0061,元大寶滬深,ETF,
006204,永豐臺灣加權,ETF,
006205,富邦上証,ETF,
006206,元大上證50,ETF,
006207,復華滬深,ETF,
00635U,期元大S&P黃金,ETF,
00639,富邦深100,ETF,
00642U,期元大S&P石油,ETF,
00645,富邦日本,ETF,
00646,元大S&P500,ETF,
TSE13,水泥窯製類,指數,
TSE14,塑化類,指數,
TSE15,機電類,指數,
TSE16,紡纖類,指數,
TSE17,電機類,指數,
TSE18,電器電纜類,指數,
TSE19,化學生醫類,指數,
TSE20,化學類,指數,
TSE21,生醫類,指數,
TSE22,玻璃陶瓷類,指數,
TSE23,造紙類,指數,
TSE25,橡膠類,指數,
TSE26,汽車類,指數,
TSE27,電子類,指數,
TSE28,半導體類,指數,
TSE29,電腦週邊類,指數,
TSE30,光電類,指數,
TSE31,網通類,指數,
TSE32,電零類,指數,
TSE33,電通類,指數,
TSE34,資服類,指數,
TSE35,其他電子類,指數,
TSE36,營建類,指數,
TSE37,航運類,指數,
TSE38,觀光餐旅類指數,指數,
TSE39,金融類,指數,
TSE40,貿易百貨類,指數,
TSE99,其他類,指數,
1101,台泥,股票,水泥工業
1102,亞泥,股票,水泥工業
